detail_id,allocation_id,expense_category,allocated_amount,remittance_flag,created_at
D-0001,2026-001,Security Guard Payroll,12000,TRUE,2026-01-31 08:00:00
D-0002,2026-001,Street Lighting,3500,FALSE,2026-01-31 08:00:00
D-0003,2026-001,Garbage Collection,2800,FALSE,2026-01-31 08:00:00
D-0004,2026-001,Road Maintenance,4200,TRUE,2026-01-31 08:00:00
D-0005,2026-001,Park Maintenance,1800,FALSE,2026-01-31 08:00:00
D-0006,2026-001,Office Supplies,900,FALSE,2026-01-31 08:00:00
D-0007,2026-001,Community Events,1500,FALSE,2026-01-31 08:00:00
D-0008,2026-001,Emergency Fund,2500,TRUE,2026-01-31 08:00:00
D-0009,2026-002,Security Guard Payroll,12000,TRUE,2026-02-28 08:00:00
D-0010,2026-002,Street Lighting,3500,FALSE,2026-02-28 08:00:00
D-0011,2026-002,Garbage Collection,2800,FALSE,2026-02-28 08:00:00
D-0012,2026-002,Road Maintenance,4200,TRUE,2026-02-28 08:00:00
D-0013,2026-002,Park Maintenance,1800,FALSE,2026-02-28 08:00:00
D-0014,2026-002,Office Supplies,900,FALSE,2026-02-28 08:00:00
D-0015,2026-002,Community Events,1500,FALSE,2026-02-28 08:00:00
D-0016,2026-002,Emergency Fund,2500,TRUE,2026-02-28 08:00:00
D-0017,2026-003,Security Guard Payroll,12000,TRUE,2026-03-31 08:00:00
D-0018,2026-003,Street Lighting,3500,FALSE,2026-03-31 08:00:00
D-0019,2026-003,Garbage Collection,2800,FALSE,2026-03-31 08:00:00
D-0020,2026-003,Road Maintenance,4200,TRUE,2026-03-31 08:00:00
D-0021,2026-003,Park Maintenance,1800,FALSE,2026-03-31 08:00:00
D-0022,2026-003,Office Supplies,900,FALSE,2026-03-31 08:00:00
D-0023,2026-003,Community Events,1500,FALSE,2026-03-31 08:00:00
D-0024,2026-003,Emergency Fund,2500,TRUE,2026-03-31 08:00:00
D-0025,2026-004,Security Guard Payroll,12000,TRUE,2026-04-30 08:00:00
D-0026,2026-004,Street Lighting,3500,FALSE,2026-04-30 08:00:00
D-0027,2026-004,Garbage Collection,2800,FALSE,2026-04-30 08:00:00
D-0028,2026-004,Road Maintenance,4200,TRUE,2026-04-30 08:00:00
D-0029,2026-004,Park Maintenance,1800,FALSE,2026-04-30 08:00:00
D-0030,2026-004,Office Supplies,900,FALSE,2026-04-30 08:00:00
D-0031,2026-004,Community Events,1500,FALSE,2026-04-30 08:00:00
D-0032,2026-004,Emergency Fund,2500,TRUE,2026-04-30 08:00:00
D-0033,2026-005,Security Guard Payroll,12000,TRUE,2026-05-31 08:00:00
D-0034,2026-005,Street Lighting,3500,FALSE,2026-05-31 08:00:00
D-0035,2026-005,Garbage Collection,2800,FALSE,2026-05-31 08:00:00
D-0036,2026-005,Road Maintenance,4200,TRUE,2026-05-31 08:00:00
D-0037,2026-005,Park Maintenance,1800,FALSE,2026-05-31 08:00:00
D-0038,2026-005,Office Supplies,900,FALSE,2026-05-31 08:00:00
D-0039,2026-005,Community Events,1500,FALSE,2026-05-31 08:00:00
D-0040,2026-005,Emergency Fund,2500,TRUE,2026-05-31 08:00:00
D-0041,2026-006,Security Guard Payroll,12000,TRUE,2026-06-30 08:00:00
D-0042,2026-006,Street Lighting,3500,FALSE,2026-06-30 08:00:00
D-0043,2026-006,Garbage Collection,2800,FALSE,2026-06-30 08:00:00
D-0044,2026-006,Road Maintenance,4200,TRUE,2026-06-30 08:00:00
D-0045,2026-006,Park Maintenance,1800,FALSE,2026-06-30 08:00:00
D-0046,2026-006,Office Supplies,900,FALSE,2026-06-30 08:00:00
D-0047,2026-006,Community Events,1500,FALSE,2026-06-30 08:00:00
D-0048,2026-006,Emergency Fund,2500,TRUE,2026-06-30 08:00:00
D-0049,2026-007,Security Guard Payroll,12000,TRUE,2026-07-30 08:00:00
D-0050,2026-007,Street Lighting,3500,FALSE,2026-07-30 08:00:00
D-0051,2026-007,Garbage Collection,2800,FALSE,2026-07-30 08:00:00
D-0052,2026-007,Road Maintenance,4200,TRUE,2026-07-30 08:00:00
D-0053,2026-007,Park Maintenance,1800,FALSE,2026-07-30 08:00:00
D-0054,2026-007,Office Supplies,900,FALSE,2026-07-30 08:00:00
D-0055,2026-007,Community Events,1500,FALSE,2026-07-30 08:00:00
D-0056,2026-007,Emergency Fund,2500,TRUE,2026-07-30 08:00:00
