ticket_id,complaint_category,complaint_subject,complaint_desc,evidence_img,complaint_status,assigned_director_id,escalation_remarks,created_at,user_id,updated_at
P3-0001,PUBLIC_RELATIONS,Security personnel concern,Reported by homeowner during the week.,uploads/complaints/CMP001.jpg,ESCALATED,DIR-2026-0001,Requires legal review.,2026-03-04 08:31:00,USR-2026-0131,2026-03-09 08:31:00
G3-0002,GRIEVANCES,Noise complaint,Requires follow-up from assigned personnel.,,RESOLVED,,,2026-04-15 21:52:00,USR-2026-0142,2026-04-23 21:52:00
P3-0003,PUBLIC_RELATIONS,Security personnel concern,Resident reported the issue for HOA action.,,RESOLVED,,,2026-04-08 08:31:00,USR-2026-0036,2026-04-11 08:31:00
S3-0004,SPORTS,Basketball court lights,Requires follow-up from assigned personnel.,,RESOLVED,,,2026-03-19 07:21:00,USR-2026-0119,2026-03-21 07:21:00
B3-0005,BEAUTIFICATION,Garbage accumulation,Needs inspection by HOA.,,RESOLVED,,,2026-01-01 06:52:00,USR-2026-0091,2026-01-16 06:52:00
G3-0006,GRIEVANCES,Noise complaint,Reported by homeowner during the week.,uploads/complaints/CMP006.jpg,INVESTIGATING,,,2026-04-06 04:07:00,USR-2026-0048,2026-04-16 04:07:00
G3-0007,GRIEVANCES,Noise complaint,Requires follow-up from assigned personnel.,uploads/complaints/CMP007.jpg,INVESTIGATING,,,2026-07-08 11:27:00,USR-2026-0119,2026-07-19 11:27:00
G3-0008,GRIEVANCES,Noise complaint,Requires follow-up from assigned personnel.,uploads/complaints/CMP008.jpg,RESOLVED,,,2026-02-19 13:32:00,USR-2026-0056,2026-02-20 13:32:00
G3-0009,GRIEVANCES,Noise complaint,Needs inspection by HOA.,uploads/complaints/CMP009.jpg,INVESTIGATING,,,2026-02-05 12:12:00,USR-2026-0054,2026-02-08 12:12:00
G3-0010,GRIEVANCES,Noise complaint,Resident reported the issue for HOA action.,,INVESTIGATING,,,2026-06-25 04:21:00,USR-2026-0106,2026-07-02 04:21:00
P3-0011,PUBLIC_RELATIONS,Security personnel concern,Resident reported the issue for HOA action.,,INVESTIGATING,,,2026-03-08 14:27:00,USR-2026-0083,2026-03-15 14:27:00
G3-0012,GRIEVANCES,Noise complaint,Requires follow-up from assigned personnel.,,ACTIVE,,,2026-01-10 00:18:00,USR-2026-0094,2026-01-18 00:18:00
P3-0013,PUBLIC_RELATIONS,Security personnel concern,Needs inspection by HOA.,,RESOLVED,,,2026-05-20 21:21:00,USR-2026-0078,2026-05-27 21:21:00
F3-0014,FINANCIAL,Payment not reflected,Resident reported the issue for HOA action.,uploads/complaints/CMP014.jpg,RESOLVED,,,2026-06-02 09:50:00,USR-2026-0007,2026-06-05 09:50:00
P3-0015,PUBLIC_RELATIONS,Security personnel concern,Reported by homeowner during the week.,uploads/complaints/CMP015.jpg,RESOLVED,,,2026-06-08 00:02:00,USR-2026-0061,2026-06-21 00:02:00
I3-0016,INFRASTRUCTURE,Broken streetlight,Needs inspection by HOA.,,RESOLVED,,,2026-01-25 00:35:00,USR-2026-0082,2026-02-01 00:35:00
S3-0017,SPORTS,Basketball court lights,Needs inspection by HOA.,uploads/complaints/CMP017.jpg,ESCALATED,DIR-2026-0001,Needs engineering inspection.,2026-07-06 22:06:00,USR-2026-0080,2026-07-17 22:06:00
F3-0018,FINANCIAL,Payment not reflected,Needs inspection by HOA.,,INVESTIGATING,,,2026-05-07 22:30:00,USR-2026-0044,2026-05-17 22:30:00
P3-0019,PUBLIC_RELATIONS,Security personnel concern,Needs inspection by HOA.,uploads/complaints/CMP019.jpg,ACTIVE,,,2026-05-31 16:17:00,USR-2026-0135,2026-06-10 16:17:00
B3-0020,BEAUTIFICATION,Garbage accumulation,Resident reported the issue for HOA action.,uploads/complaints/CMP020.jpg,ACTIVE,,,2026-06-10 03:49:00,USR-2026-0068,2026-06-20 03:49:00
B3-0021,BEAUTIFICATION,Garbage accumulation,Resident reported the issue for HOA action.,uploads/complaints/CMP021.jpg,INVESTIGATING,,,2026-06-06 01:49:00,USR-2026-0115,2026-06-12 01:49:00
I3-0022,INFRASTRUCTURE,Broken streetlight,Needs inspection by HOA.,,RESOLVED,,,2026-04-28 08:52:00,USR-2026-0097,2026-05-13 08:52:00
