vehicle_id,user_id,plate_number,vehicle_type,vehicle_model,vehicle_color,or_img,cr_img,vehicle_status,created_at,updated_at
VEH-2026-0001,USR-2026-0004,ABC-1234,PRIVATE,Toyota Vios,Red,/img/or_001.jpg,/img/cr_001.jpg,ACTIVE,2026-01-10 08:30:00,2026-01-10 08:30:00
VEH-2026-0002,USR-2026-0005,XYZ-9876,PRIVATE,Honda Click 125i,Black,/img/or_002.jpg,/img/cr_002.jpg,ACTIVE,2026-01-12 09:15:00,2026-01-12 09:15:00
VEH-2026-0003,USR-2026-0006,QWE-5544,PRIVATE,Mitsubishi Mirage,Silver,/img/or_003.jpg,/img/cr_003.jpg,PENDING,2026-01-15 10:00:00,2026-01-15 10:00:00
VEH-2026-0004,USR-2026-0007,RTY-7788,PRIVATE,Ford Ranger,White,/img/or_004.jpg,/img/cr_004.jpg,ACTIVE,2026-01-20 11:45:00,2026-01-20 11:45:00
VEH-2026-0005,USR-2026-0008,UOP-1122,PRIVATE,Yamaha NMAX,Matte Blue,/img/or_005.jpg,/img/cr_005.jpg,EXPIRED,2026-01-22 14:20:00,2026-01-22 14:20:00
VEH-2026-0006,USR-2026-0009,ASD-3344,PRIVATE,Toyota Fortuner,Pearl White,/img/or_006.jpg,/img/cr_006.jpg,ACTIVE,2026-01-25 16:10:00,2026-01-25 16:10:00
VEH-2026-0007,USR-2026-0010,FGH-6677,PRIVATE,Honda Civic,Modern Steel,/img/or_007.jpg,/img/cr_007.jpg,ACTIVE,2026-02-01 08:00:00,2026-02-01 08:00:00
VEH-2026-0008,USR-2026-0010,JKL-9900,PRIVATE,Vespa Sprint 150,Yellow,/img/or_008.jpg,/img/cr_008.jpg,ACTIVE,2026-02-02 09:30:00,2026-02-02 09:30:00
VEH-2026-0009,USR-2026-0011,ZXC-2233,PRIVATE,Nissan Navara,Earth Brown,/img/or_009.jpg,/img/cr_009.jpg,ACTIVE,2026-02-05 10:45:00,2026-02-05 10:45:00
VEH-2026-0010,USR-2026-0011,VBN-4455,COMMERCIAL,Toyota Hiace Commuter,White,/img/or_010.jpg,/img/cr_010.jpg,PENDING,2026-02-06 11:20:00,2026-02-06 11:20:00
VEH-2026-0011,USR-2026-0012,MQM-1357,PRIVATE,Suzuki Ertiga,Burgundy,/img/or_011.jpg,/img/cr_011.jpg,ACTIVE,2026-02-10 13:15:00,2026-02-10 13:15:00
VEH-2026-0012,USR-2026-0012,PLM-2468,PRIVATE,Honda PCX 160,Red,/img/or_012.jpg,/img/cr_012.jpg,ACTIVE,2026-02-12 14:50:00,2026-02-12 14:50:00
VEH-2026-0013,USR-2026-0013,TGB-3690,PRIVATE,Kia Stonic,Yellow,/img/or_013.jpg,/img/cr_013.jpg,ACTIVE,2026-02-15 09:00:00,2026-02-15 09:00:00
VEH-2026-0014,USR-2026-0014,YHN-1470,PRIVATE,Mazda 3,Soul Red,/img/or_014.jpg,/img/cr_014.jpg,REJECTED,2026-02-18 10:30:00,2026-02-18 10:30:00
VEH-2026-0015,USR-2026-0015,UJM-2580,PRIVATE,Hyundai Tucson,White Cream,/img/or_015.jpg,/img/cr_015.jpg,ACTIVE,2026-02-20 11:10:00,2026-02-20 11:10:00
VEH-2026-0016,USR-2026-0016,IKL-3698,PRIVATE,Toyota Wigo,Orange,/img/or_016.jpg,/img/cr_016.jpg,ACTIVE,2026-02-22 14:40:00,2026-02-22 14:40:00
