log_id,actor_id,action_category,target_reference,action_details,timestamp
1,USR-2026-0133,MONTHLY_ALLOCATION_LOCKED,2026-001,Monthly Allocation Locked,2026-01-01 08:37:00
2,USR-2026-0037,DIRECTOR_ASSIGNED,USR-2026-0124,Director Assigned,2026-01-01 09:14:00
3,USR-2026-0052,PROFILE_UPDATED,USR-2026-0100,Profile Updated,2026-01-01 09:51:00
4,USR-2026-0066,PAYMENT_SUBMITTED,AR-2026-0089,Payment Submitted,2026-01-01 10:28:00
5,USR-2026-0075,COMPLAINT_UPDATED,B3-0012,Complaint Updated,2026-01-01 11:05:00
6,USR-2026-0106,PAYMENT_VERIFIED,AR-2026-0175,Payment Verified,2026-01-01 11:42:00
7,USR-2026-0083,PROFILE_UPDATED,USR-2026-0083,Profile Updated,2026-01-01 12:19:00
8,USR-2026-0044,COMPLAINT_CREATED,F3-0005,Complaint Created,2026-01-01 12:56:00
9,USR-2026-0102,PAYMENT_SUBMITTED,AR-2026-0134,Payment Submitted,2026-01-01 13:33:00
10,USR-2026-0067,PASSWORD_CHANGED,USR-2026-0005,Password Changed,2026-01-01 14:10:00
11,USR-2026-0103,PROFILE_UPDATED,USR-2026-0143,Profile Updated,2026-01-01 14:47:00
12,USR-2026-0149,PAYMENT_REJECTED,AR-2026-0165,Payment Rejected,2026-01-01 15:24:00
13,USR-2026-0148,PAYMENT_VERIFIED,AR-2026-0041,Payment Verified,2026-01-01 16:01:00
14,USR-2026-0139,MONTHLY_ALLOCATION_LOCKED,2026-005,Monthly Allocation Locked,2026-01-01 16:38:00
15,USR-2026-0033,LOGIN,USR-2026-0080,Login,2026-01-01 17:15:00
16,USR-2026-0095,PAYMENT_SUBMITTED,AR-2026-0138,Payment Submitted,2026-01-01 17:52:00
17,USR-2026-0062,PAYMENT_SUBMITTED,AR-2026-0123,Payment Submitted,2026-01-01 18:29:00
18,USR-2026-0010,ACCOUNT_CREATED,USR-2026-0003,Account Created,2026-01-01 19:06:00
