homeowner_id,user_id,streak_count,current_star_count,current_badge_level,created_at,updated_at
OWN-2026-0001,USR-2026-0004,6,4,GOLD,2018-05-01,2026-01-01 00:00:00
OWN-2026-0002,USR-2026-0005,1,0,BRONZE,2019-12-29,2026-01-01 00:00:00
OWN-2026-0003,USR-2026-0006,10,5,EMERALD,2025-03-17,2026-01-01 00:00:00
OWN-2026-0004,USR-2026-0007,4,2,SILVER,2023-07-06,2026-01-01 00:00:00
OWN-2026-0005,USR-2026-0008,2,0,BRONZE,2019-10-03,2026-01-01 00:00:00
OWN-2026-0006,USR-2026-0009,8,4,GOLD,2018-11-10,2026-01-01 00:00:00
OWN-2026-0007,USR-2026-0010,4,2,SILVER,2022-07-30,2026-01-01 00:00:00
OWN-2026-0008,USR-2026-0011,11,5,EMERALD,2018-02-20,2026-01-01 00:00:00
OWN-2026-0009,USR-2026-0012,4,2,SILVER,2019-09-27,2026-01-01 00:00:00
OWN-2026-0010,USR-2026-0013,7,4,GOLD,2022-10-31,2026-01-01 00:00:00
OWN-2026-0011,USR-2026-0014,5,2,SILVER,2023-05-28,2026-01-01 00:00:00
OWN-2026-0012,USR-2026-0015,9,5,EMERALD,2025-06-08,2026-01-01 00:00:00
OWN-2026-0013,USR-2026-0016,5,2,SILVER,2026-05-06,2026-01-01 00:00:00
OWN-2026-0014,USR-2026-0017,10,5,EMERALD,2022-03-29,2026-01-01 00:00:00
OWN-2026-0015,USR-2026-0018,7,4,GOLD,2020-11-07,2026-01-01 00:00:00
OWN-2026-0016,USR-2026-0019,0,0,BRONZE,2023-08-13,2026-01-01 00:00:00
OWN-2026-0017,USR-2026-0020,10,5,EMERALD,2024-06-09,2026-01-01 00:00:00
OWN-2026-0018,USR-2026-0021,9,5,EMERALD,2024-04-11,2026-01-01 00:00:00
OWN-2026-0019,USR-2026-0022,7,4,GOLD,2026-03-04,2026-01-01 00:00:00
OWN-2026-0020,USR-2026-0023,9,5,EMERALD,2025-12-31,2026-01-01 00:00:00
OWN-2026-0021,USR-2026-0024,11,5,EMERALD,2018-07-31,2026-01-01 00:00:00
OWN-2026-0022,USR-2026-0025,4,2,SILVER,2022-01-15,2026-01-01 00:00:00
OWN-2026-0023,USR-2026-0026,2,0,BRONZE,2019-07-13,2026-01-01 00:00:00
OWN-2026-0024,USR-2026-0027,10,5,EMERALD,2023-11-27,2026-01-01 00:00:00
OWN-2026-0025,USR-2026-0028,4,2,SILVER,2025-07-06,2026-01-01 00:00:00
OWN-2026-0026,USR-2026-0029,11,5,EMERALD,2022-12-01,2026-01-01 00:00:00
OWN-2026-0027,USR-2026-0030,3,2,SILVER,2026-05-14,2026-01-01 00:00:00
OWN-2026-0028,USR-2026-0031,0,0,BRONZE,2022-12-01,2026-01-01 00:00:00
OWN-2026-0029,USR-2026-0032,0,0,BRONZE,2020-04-13,2026-01-01 00:00:00
OWN-2026-0030,USR-2026-0033,6,4,GOLD,2019-04-27,2026-01-01 00:00:00
OWN-2026-0031,USR-2026-0034,3,2,SILVER,2022-11-08,2026-01-01 00:00:00
OWN-2026-0032,USR-2026-0035,6,4,GOLD,2024-11-18,2026-01-01 00:00:00
OWN-2026-0033,USR-2026-0036,3,2,SILVER,2022-06-14,2026-01-01 00:00:00
OWN-2026-0034,USR-2026-0037,6,4,GOLD,2025-09-09,2026-01-01 00:00:00
OWN-2026-0035,USR-2026-0038,7,4,GOLD,2023-10-07,2026-01-01 00:00:00
OWN-2026-0036,USR-2026-0039,10,5,EMERALD,2025-06-27,2026-01-01 00:00:00
OWN-2026-0037,USR-2026-0040,0,0,BRONZE,2023-12-17,2026-01-01 00:00:00
OWN-2026-0038,USR-2026-0041,3,2,SILVER,2018-03-15,2026-01-01 00:00:00
OWN-2026-0039,USR-2026-0042,1,0,BRONZE,2020-06-13,2026-01-01 00:00:00
OWN-2026-0040,USR-2026-0043,5,2,SILVER,2026-04-02,2026-01-01 00:00:00
OWN-2026-0041,USR-2026-0044,8,4,GOLD,2020-09-27,2026-01-01 00:00:00
OWN-2026-0042,USR-2026-0045,3,2,SILVER,2021-09-21,2026-01-01 00:00:00
OWN-2026-0043,USR-2026-0046,2,0,BRONZE,2026-05-12,2026-01-01 00:00:00
OWN-2026-0044,USR-2026-0047,3,2,SILVER,2025-07-02,2026-01-01 00:00:00
OWN-2026-0045,USR-2026-0048,3,2,SILVER,2024-10-30,2026-01-01 00:00:00
OWN-2026-0046,USR-2026-0049,3,2,SILVER,2022-10-04,2026-01-01 00:00:00
OWN-2026-0047,USR-2026-0050,9,5,EMERALD,2020-12-19,2026-01-01 00:00:00
OWN-2026-0048,USR-2026-0051,1,0,BRONZE,2021-06-09,2026-01-01 00:00:00
OWN-2026-0049,USR-2026-0052,1,0,BRONZE,2022-12-16,2026-01-01 00:00:00
OWN-2026-0050,USR-2026-0053,8,4,GOLD,2021-04-11,2026-01-01 00:00:00
OWN-2026-0051,USR-2026-0054,11,5,EMERALD,2022-12-12,2026-01-01 00:00:00
OWN-2026-0052,USR-2026-0055,4,2,SILVER,2026-09-27,2026-01-01 00:00:00
OWN-2026-0053,USR-2026-0056,10,5,EMERALD,2025-05-29,2026-01-01 00:00:00
OWN-2026-0054,USR-2026-0057,4,2,SILVER,2022-05-06,2026-01-01 00:00:00
OWN-2026-0055,USR-2026-0058,10,5,EMERALD,2023-09-14,2026-01-01 00:00:00
OWN-2026-0056,USR-2026-0059,11,5,EMERALD,2024-12-19,2026-01-01 00:00:00
OWN-2026-0057,USR-2026-0060,10,5,EMERALD,2024-12-25,2026-01-01 00:00:00
OWN-2026-0058,USR-2026-0061,0,0,BRONZE,2021-07-25,2026-01-01 00:00:00
OWN-2026-0059,USR-2026-0062,6,4,GOLD,2025-03-05,2026-01-01 00:00:00
OWN-2026-0060,USR-2026-0063,7,4,GOLD,2018-02-12,2026-01-01 00:00:00
OWN-2026-0061,USR-2026-0064,2,0,BRONZE,2025-06-14,2026-01-01 00:00:00
OWN-2026-0062,USR-2026-0065,10,5,EMERALD,2025-07-09,2026-01-01 00:00:00
OWN-2026-0063,USR-2026-0066,9,5,EMERALD,2025-07-31,2026-01-01 00:00:00
OWN-2026-0064,USR-2026-0067,1,0,BRONZE,2022-12-19,2026-01-01 00:00:00
OWN-2026-0065,USR-2026-0068,11,5,EMERALD,2021-06-05,2026-01-01 00:00:00
OWN-2026-0066,USR-2026-0069,0,0,BRONZE,2024-04-27,2026-01-01 00:00:00
OWN-2026-0067,USR-2026-0070,8,4,GOLD,2026-03-20,2026-01-01 00:00:00
OWN-2026-0068,USR-2026-0071,7,4,GOLD,2024-04-03,2026-01-01 00:00:00
OWN-2026-0069,USR-2026-0072,10,5,EMERALD,2021-04-30,2026-01-01 00:00:00
OWN-2026-0070,USR-2026-0073,11,5,EMERALD,2024-12-08,2026-01-01 00:00:00
OWN-2026-0071,USR-2026-0074,11,5,EMERALD,2022-07-28,2026-01-01 00:00:00
OWN-2026-0072,USR-2026-0075,0,0,BRONZE,2023-09-06,2026-01-01 00:00:00
OWN-2026-0073,USR-2026-0076,9,5,EMERALD,2024-07-30,2026-01-01 00:00:00
OWN-2026-0074,USR-2026-0077,11,5,EMERALD,2020-09-16,2026-01-01 00:00:00
OWN-2026-0075,USR-2026-0078,3,2,SILVER,2021-09-07,2026-01-01 00:00:00
OWN-2026-0076,USR-2026-0079,10,5,EMERALD,2023-10-25,2026-01-01 00:00:00
OWN-2026-0077,USR-2026-0080,7,4,GOLD,2019-05-11,2026-01-01 00:00:00
OWN-2026-0078,USR-2026-0081,7,4,GOLD,2022-03-25,2026-01-01 00:00:00
OWN-2026-0079,USR-2026-0082,3,2,SILVER,2022-03-17,2026-01-01 00:00:00
OWN-2026-0080,USR-2026-0083,5,2,SILVER,2021-07-06,2026-01-01 00:00:00
