transaction_id,billing_id,zone_id,amount,payment_category,production_share,hoa_share,collector_incentive,payment_method,payment_status,payment_proof,processed_by,transaction_date,user_id,reference_no
AR-2026-00001,BIL-2026-00008,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00001.jpg,COL-2026-0001,2026-01-28 12:15:00,USR-2026-0005,2.15E+11
AR-2026-00002,BIL-2026-00009,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00002.jpg,COL-2026-0001,2026-02-28 17:30:00,USR-2026-0005,3.37E+11
AR-2026-00003,BIL-2026-00010,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00003.jpg,COL-2026-0001,2026-03-13 16:15:00,USR-2026-0005,7.00E+11
AR-2026-00004,BIL-2026-00011,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-04-16 17:20:00,USR-2026-0005,9.33E+11
AR-2026-00005,BIL-2026-00012,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00005.jpg,COL-2026-0001,2026-05-31 13:20:00,USR-2026-0005,9.42E+11
AR-2026-00006,BIL-2026-00013,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00006.jpg,COL-2026-0001,2026-06-13 14:05:00,USR-2026-0005,7.63E+11
AR-2026-00007,BIL-2026-00014,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00007.jpg,COL-2026-0001,2026-07-13 15:40:00,USR-2026-0005,5.16E+11
AR-2026-00008,BIL-2026-00015,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00008.jpg,COL-2026-0001,2026-01-05 17:25:00,USR-2026-0006,1.76E+11
AR-2026-00009,BIL-2026-00016,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-02-04 12:05:00,USR-2026-0006,2.11E+11
AR-2026-00010,BIL-2026-00017,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00010.jpg,COL-2026-0001,2026-03-16 13:10:00,USR-2026-0006,8.35E+11
AR-2026-00011,BIL-2026-00018,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00011.jpg,COL-2026-0001,2026-04-13 17:50:00,USR-2026-0006,3.69E+11
AR-2026-00012,BIL-2026-00019,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00012.jpg,COL-2026-0001,2026-05-16 12:50:00,USR-2026-0006,8.53E+11
AR-2026-00013,BIL-2026-00020,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-06-13 11:00:00,USR-2026-0006,3.94E+11
AR-2026-00014,BIL-2026-00021,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00014.jpg,COL-2026-0001,2026-07-10 13:15:00,USR-2026-0006,8.08E+11
AR-2026-00015,BIL-2026-00022,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00015.jpg,COL-2026-0001,2026-01-15 10:15:00,USR-2026-0007,3.90E+11
AR-2026-00016,BIL-2026-00023,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00016.jpg,COL-2026-0001,2026-02-28 17:30:00,USR-2026-0007,6.59E+11
AR-2026-00017,BIL-2026-00024,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00017.jpg,COL-2026-0001,2026-03-13 09:10:00,USR-2026-0007,8.51E+11
AR-2026-00018,BIL-2026-00025,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00018.jpg,COL-2026-0001,2026-04-13 14:30:00,USR-2026-0007,6.82E+11
AR-2026-00019,BIL-2026-00026,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-05-13 09:50:00,USR-2026-0007,3.95E+11
AR-2026-00020,BIL-2026-00027,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00020.jpg,COL-2026-0001,2026-06-29 09:20:00,USR-2026-0007,1.02E+11
AR-2026-00021,BIL-2026-00028,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00021.jpg,COL-2026-0001,2026-07-30 16:10:00,USR-2026-0007,4.29E+11
AR-2026-00022,BIL-2026-00029,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-01-29 10:25:00,USR-2026-0008,7.57E+11
